측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
기장군 정관읍,나,일반주거,일반,동일스위트,2023,3,51,46,48,50,56,52,50,42
기장군 정관읍,나,일반주거,일반,이진캐스빌,2023,3,48,43,49,47,49,48,44,43
기장군 정관읍,나,일반주거,일반,하늘애,2023,3,53,51,54,53,55,52,55,47
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2023,3,62,55,62,62,63,63,57,53
영도구 남항동,다,준공업,일반,신한아파트 앞,2023,2,60,49,62,61,63,55,56,43
영도구 남항동,다,준공업,일반,영도종합상가 앞,2023,2,61,37,67,66,69,45,37,37
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2023,3,61,61,60,61,62,63,63,59
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2023,3,56,47,57,57,57,53,47,47
해운대구 중1동,다,상업,도로,노보텔호텔 우,2023,3,69,68,71,69,68,70,69,67
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2023,3,70,69,70,70,70,71,70,69
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,3,57,57,57,57,58,59,60,55
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2023,3,58,54,58,60,57,58,55,53
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2023,3,56,50,55,54,55,60,53,48
영도구 남항동,다,준공업,도로,구 남항새마을금고 앞,2023,3,66,59,67,67,66,66,63,56
영도구 남항동,다,준공업,도로,카이스트안경 앞,2023,3,67,60,67,69,68,66,64,57
영도구 남항동,다,준공업,일반,신한아파트 앞,2023,3,59,50,60,61,62,53,48,53
영도구 남항동,다,준공업,일반,영도종합상가 앞,2023,3,62,42,64,69,67,48,45,39
영도구 남항동,다,준공업,일반,유성티엠주식회사 앞,2023,3,57,47,61,58,57,53,46,49
중구 대청공원,가,녹지,도로,시민아파트 앞,2023,4,65,59,67,64,67,62,63,55
중구 대청공원,가,녹지,도로,시민헌장 앞,2023,4,55,47,56,54,55,56,51,43
중구 대청공원,가,녹지,일반,도서관 앞,2023,4,53,45,56,53,53,51,48,42
중구 대청공원,가,녹지,일반,동상 앞,2023,4,48,40,51,48,49,46,43,37
중구 대청공원,가,녹지,일반,충혼탑입구,2023,4,58,53,60,57,59,56,61,46
부산진구 개금2동 백병원 주변,가,종합병원,도로,개금2동새마을금고 앞,2023,4,62,54,63,63,63,60,56,52
부산진구 개금2동 백병원 주변,가,종합병원,도로,주원초등학교 앞,2023,4,62,54,63,63,63,62,57,52
부산진구 개금2동 백병원 주변,가,종합병원,일반,건강탕 앞,2023,4,56,49,58,56,58,53,50,49
부산진구 개금2동 백병원 주변,가,종합병원,일반,고원아파트1동 107동 앞,2023,4,54,50,54,56,57,51,50,50
부산진구 개금2동 백병원 주변,가,종합병원,일반,하성약국 옆,2023,4,56,48,57,60,59,50,48,49
강서구 명지동,나,일반주거,도로,더웨스턴,2023,4,64,58,64,63,65,64,60,56
강서구 명지동,나,일반주거,도로,퀸덤아파트,2023,4,62,57,63,62,63,62,60,55
강서구 명지동,나,일반주거,일반,삼정그린코아,2023,4,57,48,56,59,57,58,52,45
강서구 명지동,나,일반주거,일반,에덴하우스,2023,4,58,47,54,59,60,60,49,46
