항목,계,전,답,과수원,목장용지,임야,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지,광천지,공장 용지,학교 용지,주유소 용지,창고 용지,철도 용지,수도 용지,체육 용지,종교 용지
금정구 금성동,8430304.4,117283.1,458680.5,0.0,0.0,7260670.4,0.0,99884.5,417.0,7310.0,0.0,0.0,801.0,74984.1,0.0,34659.0,0.0,107273.8,50.0,0.0,0.0,0.0,0.0,229796.0,26973.0,1987.0,7668.0,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기장군 기장읍,39252516.2,1376119.0,3425698.0,389509.0,338737.0,25149706.3,0.0,3152110.6,479529.6,161397.4,127513.3,27423.0,32364.6,2504762.3,164093.0,339671.7,16881.0,466819.9,96434.0,12513.0,16692.0,166286.3,321787.3,0.0,30719.3,0.0,113864.0,341884.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기장군 장안읍,51124813.0,1391035.0,5497136.1,1047156.0,47588.0,32419327.0,0.0,1918113.1,2842703.2,79041.1,40596.4,16880.0,51277.3,2872109.9,166174.0,859453.9,79391.2,543768.0,139551.1,55.0,16932.6,660464.1,3822.0,17042.0,47084.0,0.0,83926.0,284185.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기장군 정관읍,38207206.2,652686.0,2791528.0,83134.0,389138.0,23886723.0,0.0,3082394.3,1486569.4,308938.1,48134.8,18248.0,78752.3,2366432.6,0.0,551840.1,11451.7,286938.0,90512.0,0.0,11355.6,1080116.8,1573.0,5751.0,40742.6,0.0,623755.9,310491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기장군 일광읍,35766790.4,1747605.0,3812508.0,400167.0,339839.0,22608777.0,0.0,1573165.2,246229.0,32907.5,3718.0,14549.0,25730.3,1961448.1,130396.0,388038.5,15777.0,505219.0,80712.0,9459.0,0.0,6671.2,1488898.0,0.0,40513.0,0.0,83875.0,250588.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기장군 철마면,53947360.0,1521837.0,5468498.0,241567.0,395280.0,41200391.0,0.0,978396.1,38898.0,33467.8,9503.0,8074.0,21408.0,1110721.4,186748.0,960184.0,26535.0,616120.0,148834.7,0.0,20424.9,66172.2,22933.0,0.0,17289.9,0.0,577437.0,276640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 대연1동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 대연3동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 대연4동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 대연5동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 대연6동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 용호1동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 용호2동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 용호3동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 용호4동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 용당동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 감만1동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 감만2동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 우암동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 문현1동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 문현2동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 문현3동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남구 문현4동,1577535.5764705883,15420.241176470587,6553.058823529412,0.0,0.0,491085.6058823529,0.0,490156.81764705887,39964.00588235294,98770.58823529411,4948.105882352941,4206.488235294118,5050.176470588235,160284.54705882352,1999.229411764706,6636.270588235295,2631.5470588235294,8964.411764705883,2.2941176470588234,0.0,2139.4,6417.547058823529,13781.723529411764,55.88235294117647,5253.752941176471,5.470588235294118,11585.64705882353,201622.76470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 초량1동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 초량2동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 초량3동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 초량6동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 수정1동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구 수정2동,822102.9500000001,4264.275000000001,1572.5,0.0,0.0,227849.66666666666,0.0,301412.73333333334,731.9916666666667,17439.2,2586.1916666666666,1065.0,1392.1000000000001,123543.625,47095.88333333333,4514.583333333333,337.15000000000003,11025.858333333332,0.0,0.0,4237.283333333334,1342.4333333333334,0.0,0.0,4192.583333333333,43.0,1542.8333333333333,65914.05833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
